Person ID,Activity Type,Start Time,End Time,Duration (minutes),Date
108,Cleaning,13:10,14:31,81,2023-01-14
225,Sleeping,14:22,22:00,458,2023-05-16
111,Shopping,05:03,06:23,80,2023-01-14
415,Sleeping,08:02,17:25,563,2023-04-19
376,Cleaning,16:57,17:29,32,2023-03-25
138,Relaxing,00:06,01:33,87,2023-02-21
467,Exercising,13:33,14:15,42,2023-01-07
132,Walking,21:51,22:32,41,2023-05-10
30,Sleeping,07:48,15:39,471,2023-02-14
238,Cleaning,06:03,06:33,30,2023-04-14
369,Relaxing,13:02,14:26,84,2023-06-05
54,Sleeping,16:24,22:58,394,2023-02-24
4,Walking,18:45,19:58,73,2023-01-15
98,Shopping,16:20,18:19,119,2023-04-06
294,Cleaning,14:58,16:15,77,2023-04-14
482,Exercising,03:59,05:27,88,2023-06-03
401,Cooking,18:28,19:10,42,2023-04-26
371,Cooking,14:11,14:48,37,2023-06-24
367,Relaxing,02:53,03:16,23,2023-04-15
135,Relaxing,11:21,12:23,62,2023-01-24
371,Exercising,00:55,01:45,50,2023-02-07
205,Working,04:57,12:58,481,2023-05-28
265,Relaxing,16:21,17:26,65,2023-03-29
46,Eating,20:02,21:32,90,2023-05-02
166,Cooking,03:58,05:35,97,2023-02-23
471,Exercising,04:06,04:42,36,2023-01-19
273,Working,09:45,14:29,284,2023-03-01
481,Socializing,08:15,09:30,75,2023-01-12
209,Cleaning,19:06,20:13,67,2023-05-28
120,Shopping,09:35,10:37,62,2023-06-23
91,Shopping,17:28,19:11,103,2023-02-08
396,Socializing,20:18,22:03,105,2023-04-09
257,Sleeping,15:59,00:46,527,2023-06-30
41,Walking,22:20,23:35,75,2023-05-20
452,Eating,06:19,07:06,47,2023-06-03
54,Cleaning,19:17,19:37,20,2023-04-14
400,Eating,14:09,14:47,38,2023-05-03
39,Socializing,21:18,23:14,116,2023-02-12
92,Walking,18:13,19:42,89,2023-02-09
197,Cooking,22:56,23:25,29,2023-03-11
212,Relaxing,17:28,19:27,119,2023-05-27
239,Sleeping,20:32,04:36,484,2023-04-24
356,Eating,13:53,14:47,54,2023-03-23
123,Relaxing,08:46,10:07,81,2023-06-27
166,Relaxing,09:16,11:02,106,2023-01-07
163,Cleaning,12:14,14:07,113,2023-04-01
408,Walking,07:26,07:58,32,2023-01-10
35,Sleeping,21:34,06:30,536,2023-06-21
287,Walking,02:39,03:18,39,2023-04-02
393,Cooking,02:18,03:11,53,2023-04-29
286,Sleeping,03:45,10:33,408,2023-04-09
199,Shopping,14:19,16:04,105,2023-03-01
300,Shopping,18:17,19:15,58,2023-03-12
434,Shopping,06:52,07:39,47,2023-06-17
381,Shopping,22:36,23:13,37,2023-05-26
272,Cooking,04:24,05:29,65,2023-03-23
153,Shopping,18:33,19:06,33,2023-05-11
459,Cleaning,18:59,19:26,27,2023-04-09
465,Cooking,19:15,21:03,108,2023-01-10
66,Exercising,22:49,23:31,42,2023-02-18
149,Shopping,04:48,05:09,21,2023-05-25
56,Working,05:29,13:36,487,2023-05-24
343,Socializing,06:54,08:03,69,2023-03-25
223,Exercising,16:15,16:51,36,2023-06-19
212,Working,08:57,13:14,257,2023-01-15
277,Cleaning,11:24,12:47,83,2023-05-19
236,Sleeping,08:17,17:03,526,2023-03-31
51,Sleeping,19:55,03:50,475,2023-01-31
233,Working,05:35,12:56,441,2023-01-29
433,Socializing,08:42,09:02,20,2023-06-25
65,Working,01:49,09:13,444,2023-02-26
23,Walking,11:30,12:15,45,2023-01-30
430,Working,12:53,18:16,323,2023-03-30
81,Eating,00:57,02:22,85,2023-03-21
401,Walking,05:39,06:46,67,2023-05-11
165,Cleaning,13:40,14:59,79,2023-06-25
404,Cleaning,15:55,17:22,87,2023-02-27
93,Cleaning,00:57,01:23,26,2023-04-28
49,Sleeping,11:16,17:28,372,2023-01-31
28,Socializing,15:53,17:00,67,2023-05-03
270,Walking,17:41,18:53,72,2023-01-29
138,Shopping,11:14,12:27,73,2023-02-20
499,Eating,00:56,01:54,58,2023-05-04
35,Sleeping,14:05,21:27,442,2023-05-09
423,Sleeping,01:49,08:34,405,2023-01-06
286,Shopping,06:22,08:19,117,2023-04-04
393,Socializing,13:49,15:22,93,2023-03-07
423,Working,01:02,09:33,511,2023-03-27
401,Eating,04:45,06:05,80,2023-02-25
229,Walking,16:17,17:17,60,2023-01-19
490,Cleaning,07:53,08:21,28,2023-05-22
245,Sleeping,16:35,01:17,522,2023-03-20
294,Walking,17:28,18:28,60,2023-02-11
197,Working,14:46,23:29,523,2023-03-25
169,Working,09:41,14:01,260,2023-06-07
328,Working,18:29,02:55,506,2023-06-10
332,Cooking,09:07,10:52,105,2023-02-14
356,Working,15:06,19:18,252,2023-04-14
157,Relaxing,02:42,04:29,107,2023-03-30
30,Cooking,00:51,01:15,24,2023-02-07
31,Exercising,12:03,13:00,57,2023-01-09
172,Walking,22:01,23:25,84,2023-04-06
437,Relaxing,21:43,23:05,82,2023-05-07
254,Exercising,01:47,02:39,52,2023-05-29
311,Cleaning,13:41,14:08,27,2023-02-07
94,Eating,00:52,01:52,60,2023-03-26
240,Walking,19:12,20:26,74,2023-06-11
85,Relaxing,08:09,09:59,110,2023-01-30
160,Relaxing,00:07,01:56,109,2023-02-27
276,Cleaning,19:48,21:43,115,2023-06-22
318,Sleeping,00:42,06:48,366,2023-02-13
484,Walking,15:22,16:41,79,2023-03-10
161,Walking,04:53,06:10,77,2023-01-18
411,Exercising,07:02,08:09,67,2023-02-04
323,Cleaning,10:07,10:32,25,2023-01-15
487,Shopping,07:11,07:35,24,2023-06-20
131,Sleeping,05:52,13:56,484,2023-02-08
120,Working,02:22,06:45,263,2023-05-22
320,Eating,05:30,06:36,66,2023-04-15
78,Relaxing,21:54,22:56,62,2023-05-31
140,Walking,08:27,09:34,67,2023-06-04
286,Shopping,07:03,08:25,82,2023-01-27
425,Relaxing,11:30,12:20,50,2023-01-03
383,Eating,16:35,17:50,75,2023-03-08
87,Exercising,11:41,12:52,71,2023-03-29
496,Working,19:49,02:05,376,2023-05-05
105,Socializing,13:46,14:53,67,2023-01-28
454,Exercising,19:11,19:59,48,2023-04-12
305,Relaxing,16:43,17:08,25,2023-04-12
15,Cooking,06:49,08:23,94,2023-01-20
483,Cooking,12:57,14:55,118,2023-01-18
311,Socializing,15:56,17:44,108,2023-05-07
435,Eating,02:11,03:01,50,2023-03-20
497,Working,18:03,23:56,353,2023-06-23
55,Exercising,12:14,13:35,81,2023-04-09
210,Socializing,20:54,22:30,96,2023-03-17
233,Sleeping,05:51,14:13,502,2023-03-02
37,Shopping,10:22,11:39,77,2023-04-11
111,Sleeping,08:20,16:59,519,2023-01-21
91,Walking,17:08,17:50,42,2023-01-04
169,Cleaning,14:41,15:21,40,2023-02-16
208,Eating,19:00,19:59,59,2023-05-24
173,Walking,20:47,21:56,69,2023-01-11
362,Eating,12:50,13:54,64,2023-03-29
55,Working,12:04,20:23,499,2023-05-19
483,Cleaning,13:13,13:36,23,2023-01-05
182,Sleeping,19:49,03:51,482,2023-02-19
75,Cleaning,12:10,13:43,93,2023-05-24
467,Sleeping,17:54,03:53,599,2023-03-20
313,Cleaning,02:39,04:26,107,2023-06-07
173,Relaxing,15:42,17:20,98,2023-02-06
293,Eating,08:38,09:43,65,2023-01-05
34,Exercising,14:30,15:41,71,2023-03-03
58,Exercising,00:27,01:49,82,2023-01-17
442,Sleeping,05:40,15:37,597,2023-05-09
382,Cleaning,08:10,09:59,109,2023-01-23
194,Walking,21:01,22:16,75,2023-03-04
21,Cleaning,14:23,15:37,74,2023-03-29
77,Sleeping,03:46,12:17,511,2023-04-09
181,Working,23:24,06:53,449,2023-02-07
82,Walking,01:21,02:40,79,2023-04-10
247,Exercising,12:28,13:28,60,2023-06-19
274,Walking,08:05,08:39,34,2023-06-20
125,Relaxing,15:15,16:16,61,2023-01-27
90,Walking,23:18,00:30,72,2023-06-19
191,Sleeping,02:02,08:32,390,2023-02-11
33,Exercising,01:54,03:10,76,2023-06-06
120,Walking,17:16,18:13,57,2023-03-10
4,Cleaning,09:31,09:53,22,2023-02-09
317,Shopping,03:50,04:16,26,2023-02-03
227,Cooking,14:03,14:27,24,2023-05-07
332,Sleeping,16:37,23:09,392,2023-03-25
103,Shopping,07:33,08:46,73,2023-06-22
442,Relaxing,09:02,10:36,94,2023-01-27
314,Cleaning,08:21,09:50,89,2023-03-15
190,Walking,22:29,23:14,45,2023-05-17
119,Sleeping,01:46,09:43,477,2023-03-13
252,Exercising,08:11,09:19,68,2023-01-21
271,Cleaning,03:23,04:00,37,2023-02-25
217,Shopping,21:45,23:12,87,2023-04-30
57,Cooking,04:23,05:33,70,2023-02-26
212,Working,10:31,18:05,454,2023-05-28
451,Walking,16:24,17:03,39,2023-01-17
327,Socializing,11:32,13:02,90,2023-03-15
366,Socializing,10:48,11:17,29,2023-05-05
180,Socializing,11:20,12:09,49,2023-02-11
194,Walking,00:52,01:38,46,2023-02-28
439,Sleeping,16:36,23:34,418,2023-06-23
292,Cooking,15:15,16:21,66,2023-02-16
498,Walking,22:38,23:22,44,2023-03-07
211,Eating,05:27,06:21,54,2023-02-22
34,Relaxing,10:47,11:22,35,2023-04-10
327,Working,00:47,05:25,278,2023-02-03
341,Cleaning,01:19,01:50,31,2023-01-26
374,Socializing,10:03,10:46,43,2023-03-16
74,Shopping,16:18,18:05,107,2023-06-05
77,Exercising,18:18,19:05,47,2023-05-15
412,Cleaning,17:48,18:36,48,2023-01-02
364,Relaxing,09:34,10:40,66,2023-04-19
71,Socializing,01:39,02:46,67,2023-04-11
143,Working,18:03,00:55,412,2023-04-13
226,Socializing,04:51,06:02,71,2023-06-05
11,Cleaning,13:16,14:54,98,2023-03-26
106,Cleaning,02:11,03:42,91,2023-04-14
103,Eating,16:13,17:11,58,2023-01-25
8,Cooking,20:22,21:37,75,2023-04-01
444,Cleaning,21:26,22:16,50,2023-03-03
310,Exercising,19:21,19:56,35,2023-02-27
81,Working,04:40,11:13,393,2023-03-28
213,Cleaning,16:08,17:11,63,2023-06-07
54,Walking,14:13,15:22,69,2023-05-26
223,Socializing,19:21,19:50,29,2023-06-18
339,Eating,23:02,00:18,76,2023-01-04
245,Working,06:45,15:39,534,2023-06-03
355,Relaxing,15:34,15:55,21,2023-06-08
362,Eating,15:00,16:26,86,2023-01-13
89,Cleaning,21:20,23:03,103,2023-01-17
226,Socializing,18:01,18:54,53,2023-05-02
11,Walking,00:07,01:29,82,2023-02-28
416,Cleaning,16:52,17:15,23,2023-06-24
178,Relaxing,14:24,14:52,28,2023-02-02
100,Cooking,06:15,07:47,92,2023-02-26
320,Cooking,02:47,03:23,36,2023-03-07
257,Eating,17:19,18:03,44,2023-06-18
456,Eating,13:04,13:38,34,2023-03-04
22,Relaxing,12:58,13:20,22,2023-02-18
361,Relaxing,23:39,00:02,23,2023-01-21
401,Shopping,10:33,12:18,105,2023-04-17
331,Working,19:28,01:15,347,2023-04-16
443,Walking,23:28,23:59,31,2023-01-06
443,Working,18:07,00:10,363,2023-04-17
89,Exercising,07:40,08:59,79,2023-04-30
57,Eating,11:16,11:59,43,2023-03-21
179,Exercising,11:46,13:14,88,2023-05-20
119,Walking,17:10,18:28,78,2023-06-02
335,Relaxing,07:57,09:01,64,2023-03-01
287,Exercising,05:38,06:38,60,2023-05-23
459,Sleeping,19:16,02:58,462,2023-03-14
331,Exercising,11:46,12:58,72,2023-04-22
228,Walking,20:58,21:32,34,2023-06-17
451,Walking,02:22,03:41,79,2023-03-13
264,Working,01:55,09:32,457,2023-01-17
474,Cleaning,23:47,00:26,39,2023-03-10
228,Working,18:19,02:21,482,2023-05-29
339,Eating,03:45,05:02,77,2023-04-08
354,Eating,13:04,13:53,49,2023-01-04
433,Eating,07:36,08:19,43,2023-03-31
468,Sleeping,17:32,02:22,530,2023-03-05
239,Exercising,01:38,03:08,90,2023-06-09
13,Exercising,02:46,03:49,63,2023-06-03
210,Exercising,12:56,14:26,90,2023-04-26
317,Socializing,20:30,22:27,117,2023-05-29
213,Shopping,09:22,11:09,107,2023-04-21
168,Eating,18:07,18:44,37,2023-03-01
20,Cleaning,07:56,09:46,110,2023-04-10
129,Exercising,18:29,19:22,53,2023-05-28
136,Socializing,01:41,03:05,84,2023-04-14
340,Cooking,03:20,04:21,61,2023-01-25
8,Relaxing,19:15,20:11,56,2023-03-27
44,Walking,19:18,20:47,89,2023-05-19
274,Sleeping,07:38,16:01,503,2023-01-26
72,Relaxing,18:52,20:08,76,2023-05-28
40,Cleaning,22:43,23:09,26,2023-01-10
124,Cleaning,17:18,18:51,93,2023-06-01
398,Socializing,23:46,01:42,116,2023-06-19
336,Cleaning,04:36,05:30,54,2023-03-08
366,Socializing,21:45,22:13,28,2023-02-18
235,Relaxing,01:35,02:21,46,2023-03-17
356,Shopping,20:36,20:58,22,2023-02-14
186,Eating,16:39,17:10,31,2023-01-07
263,Cleaning,14:58,16:36,98,2023-02-03
403,Eating,00:42,01:43,61,2023-02-22
497,Working,19:19,23:44,265,2023-05-24
367,Shopping,14:55,16:37,102,2023-01-24
7,Walking,01:50,03:12,82,2023-06-13
122,Cooking,00:24,01:49,85,2023-04-26
407,Cleaning,21:00,22:15,75,2023-04-05
296,Eating,19:00,20:15,75,2023-02-27
166,Shopping,23:30,01:29,119,2023-04-26
99,Cleaning,14:32,15:39,67,2023-06-16
475,Eating,09:44,10:43,59,2023-05-13
62,Working,09:21,16:07,406,2023-01-01
213,Exercising,16:30,17:54,84,2023-01-30
347,Sleeping,10:22,17:30,428,2023-02-25
73,Shopping,12:57,13:46,49,2023-03-13
237,Working,23:40,04:57,317,2023-01-04
384,Cooking,09:59,11:05,66,2023-06-22
137,Cooking,10:16,11:50,94,2023-06-04
100,Sleeping,18:06,01:49,463,2023-05-09
116,Exercising,05:16,05:58,42,2023-03-04
331,Working,04:39,13:14,515,2023-05-05
129,Exercising,22:54,00:13,79,2023-01-29
317,Working,03:52,12:43,531,2023-01-26
320,Sleeping,05:52,13:30,458,2023-03-02
300,Sleeping,21:57,06:36,519,2023-04-02
400,Cleaning,14:23,16:18,115,2023-06-22
238,Exercising,11:06,11:41,35,2023-02-04
212,Socializing,10:48,12:00,72,2023-01-15
222,Cleaning,02:28,03:29,61,2023-05-21
138,Working,14:38,22:30,472,2023-04-11
138,Shopping,05:39,06:22,43,2023-06-02
427,Relaxing,03:07,04:29,82,2023-05-19
222,Relaxing,01:40,02:27,47,2023-03-03
378,Socializing,02:15,03:17,62,2023-02-23
421,Cooking,09:31,10:56,85,2023-05-27
228,Socializing,18:06,19:09,63,2023-05-18
42,Working,16:02,00:42,520,2023-02-15
456,Shopping,23:50,01:42,112,2023-04-14
302,Sleeping,15:20,21:34,374,2023-05-06
294,Cooking,04:14,05:28,74,2023-04-15
302,Working,08:56,14:44,348,2023-01-02
200,Socializing,04:17,04:41,24,2023-03-02
301,Cleaning,13:18,15:07,109,2023-02-17
118,Exercising,11:39,12:40,61,2023-05-06
19,Relaxing,08:35,09:46,71,2023-02-19
229,Walking,13:23,14:22,59,2023-06-21
331,Walking,23:21,23:58,37,2023-03-23
297,Eating,00:25,01:47,82,2023-01-18
394,Shopping,02:11,03:57,106,2023-01-24
389,Cleaning,22:16,22:56,40,2023-03-23
185,Sleeping,01:11,09:38,507,2023-01-09
339,Relaxing,10:27,12:21,114,2023-05-25
218,Shopping,17:14,18:25,71,2023-05-15
432,Relaxing,14:10,16:08,118,2023-02-28
254,Eating,18:31,19:37,66,2023-01-22
305,Exercising,20:44,21:52,68,2023-03-01
136,Eating,17:10,17:49,39,2023-03-23
194,Socializing,05:47,06:21,34,2023-01-30
112,Relaxing,03:52,04:12,20,2023-05-07
34,Sleeping,09:52,17:21,449,2023-01-22
373,Walking,18:51,19:34,43,2023-03-27
159,Sleeping,12:21,20:05,464,2023-02-24
273,Walking,18:28,19:24,56,2023-03-19
390,Sleeping,17:49,00:56,427,2023-01-18
436,Exercising,17:02,17:41,39,2023-01-10
235,Walking,12:27,13:51,84,2023-05-08
53,Shopping,19:31,20:45,74,2023-06-24
147,Cooking,18:01,19:24,83,2023-01-25
82,Shopping,02:47,04:35,108,2023-05-28
23,Cleaning,17:40,18:28,48,2023-06-04
25,Socializing,19:18,19:45,27,2023-05-14
265,Working,07:21,14:53,452,2023-06-12
403,Cooking,15:49,16:49,60,2023-01-11
16,Socializing,09:05,10:31,86,2023-04-20
262,Walking,16:01,17:25,84,2023-03-11
333,Exercising,04:58,05:30,32,2023-02-03
86,Exercising,19:19,20:48,89,2023-01-20
474,Eating,03:26,04:05,39,2023-01-25
477,Cooking,17:16,18:48,92,2023-02-21
183,Working,04:38,13:05,507,2023-04-05
485,Socializing,22:55,23:25,30,2023-05-30
456,Relaxing,06:48,07:22,34,2023-03-21
405,Shopping,05:58,06:50,52,2023-06-01
183,Shopping,11:45,13:32,107,2023-01-17
113,Exercising,20:04,21:23,79,2023-05-08
484,Cleaning,19:49,20:28,39,2023-04-21
430,Exercising,20:20,21:06,46,2023-06-17
388,Cooking,14:41,16:04,83,2023-02-11
246,Exercising,04:55,05:56,61,2023-01-28
180,Exercising,01:39,03:07,88,2023-04-18
265,Shopping,13:21,14:40,79,2023-04-08
329,Sleeping,15:58,01:58,600,2023-06-01
170,Shopping,10:31,11:19,48,2023-05-23
154,Exercising,01:19,02:21,62,2023-06-17
248,Relaxing,22:48,23:28,40,2023-06-30
29,Walking,20:40,21:12,32,2023-06-21
408,Cleaning,23:20,00:05,45,2023-04-12
474,Cooking,06:13,07:37,84,2023-04-07
401,Exercising,08:03,09:22,79,2023-01-26
89,Exercising,01:11,02:18,67,2023-02-22
205,Exercising,10:54,12:06,72,2023-03-24
305,Cleaning,18:05,18:42,37,2023-06-26
379,Sleeping,07:23,15:07,464,2023-02-04
487,Walking,08:59,09:46,47,2023-02-03
270,Relaxing,07:45,09:41,116,2023-05-23
287,Exercising,20:17,21:28,71,2023-01-03
7,Walking,06:34,07:31,57,2023-05-10
94,Eating,02:52,03:53,61,2023-06-28
218,Exercising,14:03,15:13,70,2023-02-05
225,Cleaning,07:56,09:40,104,2023-04-08
439,Shopping,19:58,20:32,34,2023-04-03
360,Exercising,20:48,21:42,54,2023-06-13
393,Shopping,14:19,15:57,98,2023-06-30
296,Shopping,04:01,04:39,38,2023-06-06
279,Exercising,05:08,06:15,67,2023-04-20
153,Exercising,19:24,20:26,62,2023-04-13
258,Cooking,17:54,19:01,67,2023-04-01
175,Cleaning,05:36,07:26,110,2023-05-06
382,Walking,06:12,07:09,57,2023-05-15
463,Working,23:09,05:23,374,2023-03-18
75,Walking,15:26,16:19,53,2023-02-16
201,Socializing,15:26,16:42,76,2023-04-29
312,Socializing,03:08,03:56,48,2023-06-13
422,Working,13:06,20:57,471,2023-01-17
91,Cleaning,12:46,14:22,96,2023-02-16
230,Working,20:18,04:53,515,2023-03-11
240,Cleaning,09:00,10:54,114,2023-06-24
80,Walking,19:46,20:48,62,2023-05-10
181,Cleaning,00:45,01:26,41,2023-02-13
422,Cooking,20:31,22:05,94,2023-04-15
441,Eating,18:31,19:48,77,2023-04-21
87,Cleaning,12:17,13:01,44,2023-02-05
200,Shopping,11:26,12:07,41,2023-02-15
34,Relaxing,10:39,11:41,62,2023-04-17
207,Cleaning,01:22,02:03,41,2023-01-30
355,Relaxing,04:01,05:53,112,2023-04-04
114,Cleaning,20:29,21:03,34,2023-01-02
272,Socializing,05:52,07:13,81,2023-02-02
268,Walking,02:34,03:20,46,2023-02-22
92,Cleaning,09:41,10:55,74,2023-03-04
213,Socializing,11:16,13:03,107,2023-01-30
249,Relaxing,00:11,01:45,94,2023-02-21
441,Walking,23:33,00:22,49,2023-03-17
457,Sleeping,21:02,03:51,409,2023-04-10
421,Relaxing,08:53,09:20,27,2023-03-04
125,Working,00:59,09:12,493,2023-02-18
164,Sleeping,21:26,05:00,454,2023-02-02
151,Relaxing,22:41,23:53,72,2023-02-10
79,Sleeping,07:19,14:44,445,2023-03-16
308,Exercising,18:40,19:19,39,2023-03-07
459,Shopping,18:04,19:57,113,2023-05-30
324,Cleaning,01:37,01:57,20,2023-04-30
392,Socializing,07:48,08:38,50,2023-06-22
245,Socializing,08:02,08:57,55,2023-02-07
474,Cooking,05:05,06:40,95,2023-04-02
281,Walking,23:27,00:13,46,2023-02-01
232,Relaxing,11:35,12:53,78,2023-03-27
132,Cooking,01:59,03:04,65,2023-05-05
15,Cooking,06:30,07:11,41,2023-06-09
182,Socializing,16:07,17:18,71,2023-02-19
85,Cleaning,10:46,11:59,73,2023-05-11
412,Working,19:11,23:37,266,2023-01-09
242,Socializing,06:36,06:59,23,2023-02-19
259,Shopping,10:12,10:52,40,2023-01-21
463,Sleeping,05:46,12:38,412,2023-05-29
449,Socializing,08:26,08:47,21,2023-02-07
435,Relaxing,09:18,10:57,99,2023-04-09
129,Eating,08:16,08:49,33,2023-03-30
